Departement,commune,section_communale,Institution,Categorie,Statut,code_MSPP,code_iSante,Reseau,Lat,Long
Grand Anse,Chambellan,1ère  Déjean^815-01,CS de Chambellan,CSL,Public,815101,81501,,18.5508,-74.3132
Grand Anse,Chambellan,2ème Boucan^815-02,Dispensaire de Boucan,Dispensaire,Public,815203,,,,
Grand Anse,Chambellan,2ème Boucan^815-02,Dispensaire Berluce,Dispensaire,Public,815204,,,,
Grand Anse,Chambellan,2ème Boucan^815-02,SSPE de Bourdon,Dispensaire,Public,815202,81502,,18.4899,-74.3504
Grand Anse,Anse D'Hainault,2ème Boudon^821-02,Icéus Picard de Sicard,Dispensaire,Mixte,821205,,,,
Grand Anse,Anse D'Hainault,4ème Mandou^821-04,SSPE de Mandou,Dispensaire,Public,821402,82102,,18.4413,-74.4492
Grand Anse,Anse D'Hainault,1ère Grandoit^821-01,Dispensaire de Sainte Hélène,Dispensaire,Privé à but lucratif,821104,,,,
Grand Anse,Anse D'Hainault,1ère Grandoit^821-01,HCR (St Jean Baptiste),HD,Public,821106,,,,
Grand Anse,Dame Marie,3ème Désormeau^822-03,Hôp. de la Communauté DM,HCR,Mixte,822301,82201,PATHFINDER,18.56,-74.42
Grand Anse,Dame Marie,3ème Désormeau^822-03,Notre Dame des Malades,Dispensaire,Public,822302,82202,,,
Grand Anse,Dame Marie,1ère Bariadelle^822-01,SKS Petite Rivière de Dame Marie,Dispensaire,Public,822104,82204,,,
Grand Anse,Dame Marie,1ère Bariadelle^822-01,Sainte Anne de Bariadelle,Dispensaire,Public,822103,82203,,18.5168,-74.4412
Grand Anse,Dame Marie,3ème Désormeau^822-03,Saint Michel de Désormeaux,Dispensaire,Public,822305,82205,,18.5453,-74.3655
Grand Anse,Les Irois,5ème Matador^823-01,Sant santé Espwa AFSC/Irois,CAL,Public,823501,82301,,18.4063,-74.4499
Grand Anse,Les Irois,7ème Garcasse^823-03,Dispensaire Carcasse,Dispensaire,Mixte,823702,,,,
Grand Anse,Corail,1ère Duquillon^831-01,CAL St Pierre de Corail,CAL,Public,831101,83101,PATHFINDER,,
Grand Anse,Corail,1ère Duquillon^831-01,Dispensaire St Gérard,Dispensaire,Mixte,831102,,,,
Grand Anse,Corail,1ère Duquillon^831-01,SSPE de Moulines,Dispensaire,Privé à but non lucratif,831103,83102,,18.4773,-73.9975
Grand Anse,Roseaux,4ème les Gomiers^832-04,Bon Samaritain des Roseaux,Dispensaire,Mixte,832401,83201,,18.5991,-74.0158
Grand Anse,Roseaux,1ère Carrefour Charles^832-01,SSPE de Carrefour Charles,CSL,Mixte,832102,83202,,18.5363,-73.9996
Grand Anse,Roseaux,2ème Fonds Cochon^832-02,St Antoine de Padoue de Lopino,Dispensaire,Mixte,832203,83204,,,
Grand Anse,Roseaux,4ème les Gomiers^832-04,HHF à Roseaux,Dispensaire,Privé à but lucratif,832404,83205,,,
Grand Anse,Roseaux,1ère Carrefour Charles^832-01,Centre de Santé Saint Martin,CSL,Mixte,832105,,,,
Grand Anse,Beaumont,4ème Beaumont^833-01,Dispensaire La Providence,Dispensaire,Public,833403,,,,
Grand Anse,Beaumont,4ème Beaumont^833-01,CAL Sainte Agnès Citimed,CAL,Mixte,833401,83301,ICC,18.4716,-73.9429
Grand Anse,Pestel,3ème Jean Bellune^834-03,Dispensaire Jean Belune,Dispensaire,Privé à but lucratif,834308,,,,
Grand Anse,Pestel,4ème Tozia^834-04,Dispensaire de Détail,Dispensaire,Public,834409,,,,
Grand Anse,Pestel,1ère Bernagousse^834-01,Centre de Santé de Pestel,CAL,Public,834101,83401,UGP MSPP,18.5412,-73.7993
Grand Anse,Pestel,1ère Bernagousse^834-01,SSPE des Basses,Dispensaire,Public,834102,83402,,,
Grand Anse,Pestel,5ème Duchity^834-05,SSPE de Duchity,Dispensaire,Public,834503,83403,,18.4351,-73.9011
Grand Anse,Pestel,3ème Jean Bellune^834-03,SSPE Espwa de Pointe Sable,Dispensaire,Mixte,834304,83404,,18.6069,-73.7951
Grand Anse,Pestel,5ème Duchity^834-05,Centre de Santé de Tozia,Dispensaire,Public,834506,,,,
Grand Anse,Pestel,1ère Bernagousse^834-01,Anse à Macon,Dispensaire,Public,834105,,,,
Grand Anse,Pestel,2ème Espere^834-02,Centre Espoir Communautaire,Dispensaire,Mixte,834207,,,,
Nippes,Miragoâne,1ère Chalon^1011-01,SSPE de Beraca,Dispensaire,Privé à but lucratif,1011101,84105,,,
Nippes,Miragoâne,3ème Dessources^1011-03,SSPE de Labrousse,CAL,Mixte,1011305,,,,
Nippes,Miragoâne,4ème Pemerle^1011-04,SSPE de St Michel du Sud,Dispensaire,Public,1011406,84109,,,
Nippes,Miragoâne,1ère Chalon,Hôpital Sainte Thérèse,HD,Public,1011600,84100,UGP MSPP,18.446,-73.0701
Nippes,Miragoâne,1ère Chalon^1011-01,SSPE de Chalon,Dispensaire,Mixte,1011102,84106,,,
Nippes,Miragoâne,2ème Belle Rivière^1011-02,SSPE de Lhomond,Dispensaire,Mixte,1011203,84107,,,
Nippes,Miragoâne,2ème Belle Rivière^1011-02,SSPE de Belle Rivière,Dispensaire,Mixte,1011204,84108,,,
Nippes,Petite Rivière de L'Artibonite,3ème Silegue^1012-03,CAL de Madian,CAL,Mixte,1012301,84201,,,
Nippes,Petite Rivière de L'Artibonite,3ème Silegue^1012-03,Clinic de la Visitation,CSL,Mixte,1012302,,,,
Nippes,Petite Rivière de L'Artibonite,1ère Fonds de Lianes^1012-01,SSPE de Petite Rivière,Dispensaire,Public,1012103,84202,,,
Nippes,Fonds des Nègres,4ème Pemerle^1013-03,SSPE St Joseph de Pémerle,Dispensaire,Mixte,1013301,84110,,,
Nippes,Fonds des Nègres,2ème Fonds des Nègres^1013-01,CAL de Béthel,CAL,Privé à but lucratif,1013202,84111,CMMB,18.36,-73.21
Nippes,Fonds des Nègres,1ère Bouzi^1013-02,SSPE Ste Catherine,Dispensaire,Mixte,1013103,,,,
Nippes,Paillant,1ère Salagnac^1014-01,SSPE de Mussotte,Dispensaire,Public,1014102,84103,,,
Nippes,Paillant,1ère Salagnac,CAL de Paillant,CAL,Public,1014601,84101,,,
Nippes,Paillant,2ème Bouzi^1014-02,SSPE de Jeannette,Dispensaire,Privé à but lucratif,1014203,84102,,,
Nippes,Paillant,1ère Salagnac^1014-01,SSPE de Etang Rey (NF),Dispensaire,Mixte,1014104,84104,,,
Nippes,Anse à Veau,7ème Sault de Baril^1021-03,SSPE de Javel,Dispensaire,Mixte,1021303,85103,,,
Nippes,Anse à Veau,1ère Baconnois,CAL Jules Fleury,HCR,Public,1021201,85101,PATHFINDER,,
Nippes,Anse à Veau,6ème Grande Rivière^1021-02,SSPE de Félix Mathieu,Dispensaire,Privé,1021204,,,,
Nippes,Anse à Veau,7ème Sault de Baril^1021-03,SSPE de Saint Yves,Dispensaire,Mixte,1021302,85104,,,
Nippes,L'Asile,4ème Morisseau^1023-01,SSPE de Morisseaux,Dispensaire,Mixte,1022402,85404,,,
Nippes,L'Asile,1ère l'Asile^1023-03,CAL de L’Asile,HCR,Public,1022301,85401,,,
Nippes,L'Asile,3ème Tournade^1023-04,SSPE de Changieux,Dispensaire,Public,1022204,85403,,,
Nippes,L'Asile,3ème Tournade^1023-04,SSPE Béthesda Fleurant (NF),Dispensaire,Mixte,1022203,85402,,,
Nippes,Petit Trou de Nippes,1ère Raymond^1022-01,CAL de Petit Trou,CAL,Public,1023101,85301,JHPIEGO,,
Nippes,Plaisance du Sud,6ème Plaisance^1025-01,CAL de Plaisance,CAL,Mixte,1024601,,,,
Nippes,Plaisance du Sud,5ème Anse à Pins^1025-02,SSPE de Gauthier Civil (NF),Dispensaire,Mixte,1024502,,,,
Nippes,Arnaud,1ère Arneau^1024-03,SSPE d’Arnaud,CSL,Mixte,1025301,,,,
Nippes,Baradères,4ème La Plaine^1031-04,Baradères,CAL,Public,1031401,,,,
Nippes,Baradères,3ème Fonds Tortue^1031-03,Disp. Ste Elisabeth,Dispensaire,Mixte,1031302,,,,
Nippes,Grand Boucan,1ère Grand Boucan^1032-01,SSPE de Grand Boucan,Dispensaire,Mixte,1032101,,,,
Nord,Cap Haitien,3ème Petite Anse^311-03,Fort St Michel,HCR,Mixte,311302,31102,UGP MSPP,19.7411,-72.1941
Nord,Cap Haitien,2ème Haut du Cap^311-02,Disp. ND Lourdes Carénage,CSL,Mixte,311203,31103,,19.7649,-72.1973
Nord,Cap Haitien,2ème Haut du Cap^311-02,Dispensaire de Labadie,CSL,Public,311204,31104,,19.749,-72.219
Nord,Cap Haitien,2ème Haut du Cap^311-02,"Disp. Sacré-Coeur, Rue 2K",Dispensaire,Privé à but lucratif,311205,31105,,19.7549,-72.2052
Nord,Cap Haitien,3ème Petite Anse^311-03,CEMAD Petite Anse,CAL,Privé à but lucratif,311309,31109,,19.733,-72.1834
Nord,Cap Haitien,2ème Haut du Cap^311-02,"FOSREF, rue 16",CSL,Privé à but non lucratif,311210,31110,Non associée,19.7595,-72.2002
Nord,Cap Haitien,3ème Petite Anse^311-03,Clinic Médico-Dentaire St Joseph,CSL,Privé à but lucratif,311311,,,,
Nord,Cap Haitien,2ème Haut du Cap^311-02,Dispensaire St Jean Bosco,Dispensaire,Privé à but lucratif,311212,,,,
Nord,Cap Haitien,2ème Haut du Cap^311-02,DASH,CSL,Privé à but lucratif,311221,,,,
Nord,Cap Haitien,3ème Petite Anse^311-03,CS Passion du Christ,CSL,Privé à but lucratif,311314,,,,
Nord,Cap Haitien,3ème Petite Anse^311-03,CS commun. de Nutrition,CSL,Privé à but lucratif,311313,,,,
Nord,Cap Haitien,2ème Haut du Cap^311-02,FOSREF Lakay,CSL,Privé à but non lucratif,311220,,,,
Nord,Cap Haitien,2ème Haut du Cap^311-02,Dispensaire Caritas,CSL,Privé à but lucratif,311219,31111,,19.7516,-72.2029
Nord,Cap Haitien,2ème Haut du Cap^311-02,CS St Jude de Cap Haïtien,CSL,Privé à but lucratif,311216,,,,
Nord,Cap Haitien,2ème Haut du Cap^311-02,Clinique Médicale de Cité du Peuple,CSL,Privé à but lucratif,311218,,,,
Nord,Cap Haitien,1ère Bande du Nord^311-01,Unité de Lutte pour la santé,CSL,Privé à but non lucratif,311122,,,,
Nord,Cap Haitien,2ème Haut du Cap^311-02,CS médical Shela,CSL,Privé à but lucratif,311217,,,,
Nord,Cap Haitien,2ème Haut du Cap^311-02,Hôpital Justinien,HU,Public,311200,31100,UMiami,19.7628,-72.2062
Nord,Cap Haitien,2ème Haut du Cap^311-02,CDS La Fossette,CSL,Mixte,311201,31101,URC,19.7535,-72.2057
Nord,Cap Haitien,1ère Bande du Nord^311-01,"Disp. Solano SA, Labadie (NF)",Dispensaire,Privé à but lucratif,311106,31106,,19.7861,-72.2435
Nord,Cap Haitien,2ème Haut du Cap^311-02,Disp. ND Ste Philomène,Dispensaire,Privé à but lucratif,311207,31107,,19.7452,-72.2105
Nord,Cap Haitien,3ème Petite Anse^311-03,CSL Madeline,CSL,Mixte,311308,31108,,19.7252,-72.1817
Nord,Cap Haitien,2ème Haut du Cap^311-02,Centre de santé Ste Trinité,CSL,Privé à but lucratif,311215,,,,
Nord,Quartier Morin,1ère Basse Plaine^312-01,Disp. de Quartier Morin,CAL,Public,312101,31201,,19.6975,-72.1578
Nord,Quartier Morin,3ème Morne Pelé^312-02,Grand Pré,Dispensaire,Public,312206,31206,,19.6226,-72.1853
Nord,Quartier Morin,1ère Basse Plaine^312-01,CMB de Carrefour la Mort,HCR,Privé à but lucratif,312107,,,,
Nord,Quartier Morin,3ème Morne Pelé^312-02,Dispensaire de Cadush,Dispensaire,Public,312202,31202,,19.642,-72.1812
Nord,Quartier Morin,1ère Basse Plaine^312-01,Dispensaire St Louis,Dispensaire,Mixte,312104,31204,,19.6972,-72.1567
Nord,Quartier Morin,3ème Morne Pelé^312-02,Disp. de Morne Pelé (NF),Dispensaire,Privé à but lucratif,312203,31203,,,
Nord,Quartier Morin,3ème Morne Pelé^312-02,Ste Bernadette de Cadush (NF),Dispensaire,Privé à but lucratif,312205,31205,,,
Nord,Limonade,3ème Roucou^313-03,Dispensaire de Limonade,CSL,Public,313301,31301,ICC,19.6695,-72.1261
Nord,Limonade,1ère Basse Plaine^313-01,Disp. Bord de mer Limonade,Dispensaire,Mixte,313103,31302,,19.7275,-72.1191
Nord,Limonade,2ème Bois de Lance^313-02,CSL Porte Ouverte,CSL,Privé à but lucratif,313202,,,,
Nord,Limonade,3ème Roucou^313-03,Centre de Santé St Charles,CSL,Privé à but non lucratif,313304,,,,
Nord,Limonade,3ème Roucou^313-03,Centre de Santé Sooring,CSL,Privé à but lucratif,313305,,,,
Nord,Limonade,3ème Roucou^313-03,Centre Catholique Limonade (NF),CSL,Privé à but lucratif,313306,,,,
Nord,Acul du Nord,3ème Mornet^321-03,Tovar,CSL,Privé à but lucratif,321302,32102,,19.6252,-72.2881
Nord,Acul du Nord,3ème Mornet^321-03,Grison Garde (NF),Dispensaire,Public,321303,32103,,,
Nord,Acul du Nord,2ème Bas de l'Acul^321-02,Dispensaire de Pillatre,Dispensaire,Privé à but lucratif,321204,32104,,19.7055,-72.3264
Nord,Acul du Nord,3ème Mornet^321-03,Dispensaire de la Bruyère,CSL,Privé à but lucratif,321308,32108,,19.6391,-72.3078
Nord,Acul du Nord,2ème Bas de l'Acul^321-02,Centre Médical Secours Chrétien,CSL,Privé à but lucratif,321209,,,,
Nord,Acul du Nord,3ème Mornet^321-03,C/S Divine Miséricorde,CAL,Privé à but lucratif,321311,,,,
Nord,Acul du Nord,3ème Mornet^321-03,Disp. Carrefour La Chaux,CSL,Public,321310,,,,
Nord,Acul du Nord,3ème Mornet^321-03,Dispensaire C. de Duty (NF),Dispensaire,Public,321312,,,,
Nord,Acul du Nord,2ème Bas de l'Acul^321-02,Nativité,CSL,Mixte,321201,32101,,19.6833,-72.3192
Nord,Acul du Nord,1ère Camp louise^321-01,Disp. de Camp Louise,Dispensaire,Public,321105,32105,,19.7476,-72.3479
Nord,Acul du Nord,3ème Mornet^321-03,Délivrance (NF),Dispensaire,Privé à but lucratif,321306,32106,,,
Nord,Acul du Nord,6ème Soufrière^321-06,Disp. de Souffrière (NF),Dispensaire,Public,321607,32107,,,
Nord,Plaine du Nord,1ère Morne rouge^322-01,Dispensaire de Balan,Dispensaire,Mixte,322102,32202,,19.727,-72.2975
Nord,Plaine du Nord,1ère Morne rouge^322-01,CSL Béthesda de Vaudreuil,CSL,Privé à but lucratif,322105,32205,UGP MSPP,19.7202,-72.2521
Nord,Plaine du Nord,1ère Morne rouge^322-01,St François de Sales,HCR,Privé à but lucratif,322106,32206,,19.7183,-72.2522
Nord,Plaine du Nord,1ère Morne rouge^322-01,Hôpital Divine Mercy,HCR,Privé,322111,,,,
Nord,Plaine du Nord,1ère Morne rouge^322-01,Hop. de Fondation SAREPTA,HCR,Privé,322112,,,,
Nord,Plaine du Nord,2ème Basse Plaine^322-02,CSL Jehova Jireh,CSL,Mixte,322208,32208,,19.6774,-72.2709
Nord,Plaine du Nord,3ème Grand Boucan^322-03,CS Rose Merci Robillard,CSL,Privé à but non lucratif,322310,,,,
Nord,Plaine du Nord,1ère Morne rouge^322-01,Disp. de Morne Rouge,Dispensaire,Public,322103,32203,,19.7105,-72.266
Nord,Plaine du Nord,3ème Grand Boucan^322-03,Dispensaire de Robillard,Dispensaire,Public,322304,32204,,19.6119,-72.26
Nord,Plaine du Nord,1ère Morne rouge^322-01,Clinique François DUGUE,CSL,Privé à but non lucratif,322107,32207,URC,19.7071,-72.2781
Nord,Plaine du Nord,2ème Basse Plaine^322-02,Centre Médico social,CSL,Mixte,322209,,,,
Nord,Plaine du Nord,2ème Basse Plaine^322-02,Disp. de Paine du Nord,Dispensaire,Privé à but lucratif,322201,32201,,,
Nord,Milot,2ème Bonnet à l'Evêque^323-02,CAL Sacre Coeur,hôpital,Privé à but lucratif,323201,32301,CMMB,19.6101,-72.2095
Nord,Milot,3ème Génipailler^323-03,La Providence de Lory,CSL,Privé à but non lucratif,323305,32305,,19.6976,-72.2262
Nord,Milot,3ème Génipailler^323-03,Disp. Carrefour des Pères,Dispensaire,Public,323302,32302,,19.6848,-72.2055
Nord,Milot,1ère Perches du Bonnet^323-01,Dispensaire de Thibault,Dispensaire,Privé à but lucratif,323103,32303,,19.6332,-72.2272
Nord,Grande Rivière du Nord,9ème Cormiers^331-06,CAL Grande Rivière du Nord,HCR,Public,331901,33101,UGP MSPP,19.579,-72.17
Nord,Grande Rivière du Nord,8ème Jolitrou^331-05,Disp. Commun. de Joli-Trou,Disp,Privé à but lucratif,331502,,,,
Nord,Grande Rivière du Nord,8ème Jolitrou^331-05,Disp. Métho. de la Tannerie (NF),Dispensaire,Privé à but lucratif,331503,33102,,,
Nord,Bahon,5ème Bailly^332-02,Dispensaire de Bahon,CSL,Public,332501,33201,,19.4695,-72.1142
Nord,Bahon,5ème Bailly^332-02,Dispensaire. St Joseph,Dispensaire,Privé à but lucratif,332502,,,,
Nord,Saint Raphaël,4ème Sanyago^341-04,CSL de St Raphaël,CAL,Public,341401,34101,SSQH,19.44,-72.2
Nord,Saint Raphaël,4ème Sanyago^341-04,St Joseph 1,Dispensaire,Privé à but non lucratif,341402,34102,ICC,19.4364,-72.2004
Nord,Dondon,4ème Laguille^342-04,CSL de Dondon,CAL,Public,342401,34201,,19.5267,-72.2446
Nord,Dondon,1ère Brostage^342-01,Disp. Commun. de Dondon (NF),Dispensaire,Privé à but lucratif,342103,,,,
Nord,Dondon,4ème Laguille^342-04,St Joseph 2,Dispensaire,Privé à but lucratif,342402,34202,,19.5261,-72.2417
Nord,Ranquitte,1ère Bac à Soude^343-01,CSL de Ranquitte,CAL,Public,343101,34301,,19.4106,-72.0828
Nord,Ranquitte,1ère Bac à Soude^343-01,Dispensaire Brenda West,CSL,Public,343102,,,,
Nord,Ranquitte,1ère Bac à Soude^343-01,Disp. St Joseph (Catholique),Dispensaire,Public,343103,34303,,19.413,-72.0785
Nord,Pignon,1ère Savannette^344-01,Hôp. Bienfaisance de Pignon,HCR,Public,344101,34401,URC,19.3397,-72.119
Nord,Pignon,1ère Savannette^344-01,St Joseph (Pignon),Dispensaire,Privé à but non lucratif,344102,34402,,19.3362,-72.1142
Nord,La Victoire,1ère La Victoire^345-01,CSL La Victoire,CAL,Public,345101,,,,
Nord,La Victoire,1ère La Victoire^345-01,Dispensaire Saint Joseph (NF),Dispensaire,Privé à but lucratif,345102,,,,
Nord,Borgne,7ème Fond Lagrange^351-07,Alliance Santé Borgne,CAL,Mixte,351704,35101,UGP MSPP,19.84,-72.52
Nord,Borgne,3ème Petit Bourg Du Borgne^351-03,Disp. de Petit Bourg Borgne,Dispensaire,Public,351302,35102,,19.8079,-72.5725
Nord,Borgne,3ème Petit Bourg Du Borgne^351-03,CAL de Borgne (NF),CAL,Public,351301,,,,
Nord,Borgne,3ème Petit Bourg Du Borgne^351-03,Corpus Christi (NF),Dispensaire,Privé à but lucratif,351303,35103,,,
Nord,Port Margot,2ème Bas Petit Borgne^352-02,CSL de Port Margot,CSL,Privé à but lucratif,352201,35201,ICC,19.7511,-72.4295
Nord,Port Margot,6ème Bras Gauche^352-06,Dispensaire Petit Bourg,CSL,Public,352602,35202,,19.7217,-72.4488
Nord,Port Margot,5ème Bas Quartier^352-05,Dispensaire de Bayeux,CSL,Mixte,352503,35203,,19.8084,-72.4336
Nord,Port Margot,2ème Bas Petit Borgne^352-02,Dispensaire Malachy,CSL,Mixte,352204,35204,,19.7507,-72.4282
Nord,Port Margot,3ème Corail^352-03,Clinique Méd. Dr Dorsainvil,CSL,Privé à but lucratif,352307,,,,
Nord,Port Margot,3ème Corail^352-03,Disp. Wesleyen de Fauché,CAL,Privé à but non lucratif,352305,35205,,19.737,-72.4303
Nord,Port Margot,2ème Bas Petit Borgne^352-02,Disp. Cath de Pt Bourg,Dispensaire,Privé à but lucratif,352206,35206,,,
Nord,Limbé,7ème Ravine Desroches^361-05,Hôpital Bon Samaritain,Hôpital,Privé à but lucratif,361702,36102,ICC,19.6996,-72.4026
Nord,Limbé,5ème Camp Coq^361-03,Dispensaire de Camp Coq,CSL,Public,361503,36103,,19.6335,-72.4259
Nord,Limbé,5ème Camp Coq^361-03,Dispensaire Catholique de Camp Coq,CSL,Privé à but lucratif,361506,,,,
Nord,Limbé,3ème Acul Jeannot,Dispensaire Haut Limbé,CAL,Mixte,361304,36104,,19.6988,-72.3565
Nord,Limbé,3ème Acul Jeannot,Centre Galilée de Haut Limbé,CSL,Privé à but non lucratif,361305,,,,
Nord,Limbé,7ème Ravine Desroches^361-05,St Jean de Limbe,HCR,Mixte,361701,36101,CMMB,19.7074,-72.4018
Nord,Bas Limbé,2ème Petit Howars^362-02,Dispensaire de Bas Limbé,Dispensaire,Public,362201,36201,,19.7802,-72.3797
Nord,Bas Limbé,2ème Petit Howars^362-02,CS Materno Infantile Mont Carmel,CSL,Privé à but lucratif,362202,,,,
Nord,Plaisance,7ème Bassin^371-07,CMP Progressio,HCR,Privé à but lucratif,371701,37101,ICC,19.5974,-72.4693
Nord,Plaisance,1ère Gobert^371-01,Dispensaire de Gobert,Dispensaire,Privé à but lucratif,371102,37102,,19.6297,-72.5061
Nord,Plaisance,5ème La trouble^371-05,Dispensaire La Trouble,Dispensaire,Privé à but non lucratif,371503,37103,,19.5669,-72.4427
Nord,Plaisance,8ème Grande Rivière^371-08,Disp. St Henry de Puilboreau,Dispensaire,Mixte,371804,37104,,19.539,-72.473
Nord,Pilate,1ère Ballon^372-01,Hôpital Espérance de Pilate,HD,Privé à but non lucratif,372101,37201,CMMB,19.6687,-72.5505
Nord,Pilate,3ème Ravine Trompette^372-03,CDS presbytéral de Ravine Trompette,CSL,Privé à but non lucratif,372102,,,,
Nord Est,Fort-Liberté,1ère Dumas^411-01,Hôpital de Fort-Liberté,HD,Public,411100,41100,UGP MSPP,19.6655,-71.841
Nord Est,Fort-Liberté,1ère Dumas^411-01,Derac,Dispensaire,Public,411101,41101,,19.6611,-71.8132
Nord Est,Fort-Liberté,1ère L'Oiseau^411-03,Acul Samedi,Dispensaire,Public,411302,41102,,19.5204,-71.8816
Nord Est,Fort-Liberté,2ème Bayaha^411-02,Malfety,Dispensaire,Public,411203,,,,
Nord Est,Ferrier,3ème Bas Maribahoux^412-01,Disp. de Ferrier,Dispensaire,Public,412301,,,,
Nord Est,Ferrier,3ème Bas Maribahoux^412-01,Disp. de Meillac,Dispensaire,Public,412302,,,,
Nord Est,Ferrier,3ème Bas Maribahoux^412-01,Mérande,Dispensaire,Public,412303,,,,
Nord Est,Perches,1ère Haut des Perches^413-01,Disp. de Perches,Dispensaire,Public,413201,41301,,19.5216,-71.9221
Nord Est,Perches,2ème Haut des Perches^413-02,Maquillon,Dispensaire,Public,413202,,,,
Nord Est,Ouanaminthe,1ère Haut Maribahoux^421-01,CAL de Ouanaminthe,CAL,Public,421101,41201,URC,19.6161,-71.7799
Nord Est,Ouanaminthe,1ère Haut Maribahoux^421-01,Disp. de Dilaire,CSL,Public,421107,,,,
Nord Est,Ouanaminthe,2ème Acul des Pins^421-02,Disp. d’Acul des Pins,Dispensaire,Public,421202,41202,,19.6699,-71.756
Nord Est,Ouanaminthe,1ère Haut Maribahoux^421-01,Univers Centre Médical,CAL,Privé à but lucratif,421104,,,,
Nord Est,Ouanaminthe,7ème Savanne Au Lait^421-04,Disp. Savane au Lait,Dispensaire,Public,421605,,,,
Nord Est,Ouanaminthe,3ème Savane Longue^421-03,Disp. Savane Longue,Dispensaire,Public,421306,,,,
Nord Est,Ouanaminthe,5ème Gens de Nantes^421-05,Disp. de Gens de Nantes,Dispensaire,Privé à but lucratif,421503,41203,,,
Nord Est,Capotille,4ème Capotille^422-01,Disp. de Capotille,CAL,Public,422101,42201,,19.4475,-71.6982
Nord Est,Capotille,6ème Lamine^422-02,Disp. Lamine,Dispensaire,Public,422202,,,,
Nord Est,Mont Organisé,2ème Bois Poux^423-02,CAL de Mont Organisé,CAL,Public,423201,42301,CDS,19.4104,-71.7848
Nord Est,Mont Organisé,1ère Savanette^423-01,Savanette,Dispensaire,Public,423102,,,,
Nord Est,Trou du Nord,2ème Roucou^431-02,Disp. de Pilette,Dispensaire,Mixte,431203,,,,
Nord Est,Trou du Nord,2ème Roucou^431-02,CDI de Trou du Nord,Hôpital,Public,431201,43101,CDS,19.6127,-72.0269
Nord Est,Trou du Nord,3ème Roche Plate^431-03,Disp. de Roche Plate,Dispensaire,Public,431302,43102,,19.5561,-71.9756
Nord Est,Trou du Nord,2ème Roucou^431-02,Leroux Cachiman,Dispensaire,Public,431204,,,,
Nord Est,Sainte Suzanne,1ère Foulon^432-01,Disp. de Sainte Suzanne,Dispensaire,Public,432101,43201,URC,19.5842,-72.0883
Nord Est,Sainte Suzanne,6ème Fond Bleu^432-06,Disp. de Dupity,Dispensaire,Mixte,432602,43202,,19.4743,-72.0481
Nord Est,Terrier-Rouge,2ème Grand Bassin^433-02,CSL Bethesda,CAL,Privé à but lucratif,433202,,,,
Nord Est,Terrier-Rouge,1ère Fond Blanc^433-01,CSL de Terrier Rouge,CSL,Mixte,433101,43301,CDS,19.6369,-71.9534
Nord Est,Terrier-Rouge,1ère Fond Blanc^433-01,Disp. de Phaéton,Dispensaire,Public,433103,43303,,19.6765,-71.8953
Nord Est,Terrier-Rouge,2ème Grand Bassin^433-02,Disp. de Danda,Dispensaire,Privé à but lucratif,433204,43304,,19.5596,-71.8856
Nord Est,Terrier-Rouge,1ère Fond Blanc^433-01,Clinique Espérance et Vie,CSL,Privé à but lucratif,433105,,,,
Nord Est,Terrier-Rouge,2ème Grand Bassin^433-02,ND de Lourdes,CSL,Mixte,433206,,,,
Nord Est,Caracol,2ème Claudine^434-02,Disp. de Jacquezyl,CSL,Mixte,434201,43103,SSQH,19.68,-71.99
Nord Est,Caracol,1ère Champin^434-01,Disp. de Caracol,CSL,Mixte,434102,43402,,19.6924,-72.0181
Nord Est,Caracol,1ère Champin^434-01,CS Sainte Elizabeth,CSL,Mixte,434103,,,,
Nord Est,Vallières,1ère Trois Palmistes^441-01,Disp. de Vallières,Dispensaire,Public,441101,44101,,19.4351,-71.9207
Nord Est,Vallières,2ème Grosse Roche^441-02,Disp. de Grosse Roche,Dispensaire,Public,441202,44102,,19.4753,-71.9983
Nord Est,Carice,1ère Bois Gamelle^442-01,Disp. de Carice,CAL,Public,442101,44201,,19.3777,-71.8365
Nord Est,Carice,1ère Bois Gamelle^442-01,Disp. Ste Hélène de Carice,CSL,Privé à but non lucratif,442102,44202,,19.3785,-71.83
Nord Est,Carice,2ème Rose Bonite^442-02,Rose Bonite,Dispensaire,Public,442203,,,,
Nord Est,Mombin Crochu,2ème Bois Laurence^443-02,Disp. de Bois de Laurence,CAL,Public,443201,44301,,19.3307,-71.8606
Nord Est,Mombin Crochu,1ère Sans Souci^443-01,CAL de Mombin Crochu,CAL,Public,443102,44302,CDS,19.3686,-71.9852
Nord Ouest,Port-de-Paix,3ème Aubert^911-03,Trois Rivières,CSL,Public,911301,91101,,19.9363,-72.8422
Nord Ouest,Port-de-Paix,7ème Mahotière^911-04,Beauchamp,Dispensaire,Public,911406,91106,,19.8076,-72.9823
Nord Ouest,Port-de-Paix,7ème Mahotière^911-04,Caluc,Dispensaire,Public,911408,91108,,19.7522,-72.931
Nord Ouest,Port-de-Paix,7ème Mahotière^911-04,Pilette,Dispensaire,Public,911410,,,,
Nord Ouest,Port-de-Paix,3ème Aubert^911-03,Fatima Chalet,Dispensaire,Public,911312,91112,,19.9453,-72.821
Nord Ouest,Port-de-Paix,3ème Aubert^911-03,La Croix St Joseph,Dispensaire,Privé à but lucratif,911313,91113,,19.9054,-72.793
